index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
151,susgaon ,2.0,611.0,47.5,porwal & anand develkoper,parklane urbanjoy ,yes,no,no,no,yes,yes,yes
152,susgaon ,2.0,626.0,48.43,porwal & anand develkoper,parklane urbanjoy ,yes,no,no,no,yes,yes,yes
153,susgaon ,2.0,691.0,55.26,porwal & anand develkoper,parklane urbanjoy ,yes,no,no,no,yes,yes,yes
154,susgaon ,3.0,835.0,66.0,porwal & anand develkoper,parklane urbanjoy ,yes,no,no,no,yes,yes,yes
155,susgaon ,3.0,854.0,67.0,porwal & anand develkoper,parklane urbanjoy ,yes,no,no,no,yes,yes,yes
156,mohammadwadi ,2.0,626.0,45.7,porwal  develkoper,khush vista,yes,no,no,no,yes,no,no
157,mohammadwadi ,2.0,715.0,45.5,porwal  develkoper,khush vista,yes,no,no,no,yes,no,no
158,dhanori ,2.0,692.5,59.0,keystone landmark ,oxy eterno,no,no,no,no,yes,no,no
159,dhanori ,3.0,968.0,87.0,keystone landmark ,oxy eterno,no,no,no,no,yes,no,no
160,dhanori ,3.0,996.0,89.0,keystone landmark ,oxy eterno,no,no,no,no,yes,no,no
161,dhanori ,3.0,1038.0,92.0,keystone landmark ,oxy eterno,no,no,no,no,yes,no,no
162,bavdhan budruk ,1.0,489.0,43.8,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
163,bavdhan budruk ,2.0,598.0,55.3,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
164,bavdhan budruk ,2.0,616.0,56.5,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
165,bavdhan budruk ,2.0,692.0,62.3,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
166,bavdhan budruk ,3.0,867.0,79.3,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
167,bavdhan budruk ,3.0,908.0,82.5,puraniks,abitante fiore,yes,no,no,no,yes,yes,yes
168,lonavala,3.0,1624.0,159.0,puraniks,puraniks sayama,yes,no,no,no,yes,yes,yes
169,lonavala,4.0,2043.0,215.0,puraniks,puraniks sayama,yes,no,no,no,yes,yes,yes
170,handewadi,2.0,727.0,45.74,majestique landmarks ,rhythm county ,no,no,no,no,yes,yes,no
171,handewadi,3.0,923.0,58.95,majestique landmarks ,rhythm county ,no,no,no,no,yes,yes,no
172,manjri ,2.0,731.5,59.0,kalpataru,kalpataru serenity,yes,no,no,no,yes,yes,yes
173,manjri ,3.0,1073.5,109.0,kalpataru,kalpataru serenity,yes,no,no,no,yes,yes,yes
174,kharadi,2.0,408.0,39.99,vijaya laxmi creations,satyam shivam,yes,no,no,no,yes,no,yes
175,kharadi,2.0,546.0,53.99,vijaya laxmi creations,satyam shivam,yes,no,no,no,yes,no,yes
176,kharadi,2.0,629.0,59.99,vijaya laxmi creations,satyam shivam,yes,no,no,no,yes,no,yes
177,wadgaon sheri ,1.0,378.0,33.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
178,wadgaon sheri ,1.0,494.0,47.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
179,wadgaon sheri ,2.0,780.0,70.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
180,wadgaon sheri ,2.0,850.0,73.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
181,wadgaon sheri ,2.0,900.0,78.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
182,wadgaon sheri ,2.0,930.0,83.0,vijaya laxmi creations,satyam serenity,yes,no,no,no,yes,no,yes
183,baner,3.0,1272.5,175.0,kalpataru,jade residences ,no ,no,no,no,yes,yes,no
184,baner,3.5,1740.0,250.0,kalpataru,jade residences ,no ,no,no,no,yes,yes,no
185,baner,4.5,2447.0,420.0,kalpataru,jade residences ,no ,no,no,no,yes,yes,no
186,bavdhan,1.0,405.0,39.49,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
187,bavdhan,1.0,408.0,39.49,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
188,bavdhan,1.0,392.0,39.49,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
189,bavdhan,2.0,667.0,64.99,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
190,bavdhan,2.0,641.0,64.99,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
191,bavdhan,2.0,665.0,64.99,vijaya laxmi infrarealtors,satyam shery,yes,no,no,no,yes,no ,no 
192,talegoan ,1.0,280.0,13.19,calyx spaces,atulya kanhe,yes,no,no,no,yes,yes,yes
193,talegoan ,2.0,385.0,17.29,calyx spaces,atulya kanhe,yes,no,no,no,yes,no,yes
194,baner,2.0,730.0,87.0,supreme,supreme estia,yes,no,no,no,yes,yes,yes
195,baner,3.0,1135.0,129.0,supreme,supreme estia,yes,no,no,no,yes,yes,yes
196,baner,3.0,1350.0,160.0,supreme,supreme estia,yes,no,no,no,yes,yes,yes
197,baner,4.0,1600.0,230.0,supreme,supreme estia,yes,no,no,no,yes,yes,yes
198,baner,2.0,789.0,95.0,tejraaj group,tej elevia,no,no,no,no,yes,yes,yes
199,baner,3.0,1107.0,135.0,tejraaj group,tej elevia,no,no,no,no,yes,yes,yes
200,baner,2.0,776.0,90.68,vtp reality,vtp solitaire ,yes,no,no,no,yes,yes,yes
